movie_Name,user 1,user 2,user 3,user 4,user 5,user 6,user 7,user 8,user 9,user 10
13th (2016),221,330,156,275,469,391,480,570,166,474
"13th Warrior, The (1999)",239,132,608,425,434,330,200,610,305,217
1408 (2007),249,608,525,307,469,177,200,380,239,448
1492: Conquest of Paradise (1992),414,68,608,274,380,480,182,590,448,474
15 Minutes (2001),68,608,226,249,425,45,232,381,380,480
16 Blocks (2006),608,474,182,226,288,425,525,434,274,200
17 Again (2009),599,474,274,182,288,18,590,339,307,610
1776 (1972),313,381,200,357,469,438,57,149,590,226
18 Again! (1988),274,448,307,288,380,438,232,590,298,606
187 (One Eight Seven) (1997),68,274,480,64,425,219,438,45,182,226
1900 (Novecento) (1976),221,330,156,275,469,391,480,570,166,474
1941 (1979),474,182,249,68,307,438,232,177,64,298
1969 (1988),599,68,608,480,474,274,182,288,590,448
1984 (Nineteen Eighty-Four) (1984),68,274,480,64,425,219,438,45,610,305
2 Days in New York (2012),249,68,414,298,380,599,561,274,608,288
2 Days in Paris (2007),68,132,483,480,590,64,200,608,600,381
2 Days in the Valley (1996),181,58,240,411,436,43,136,592,68,608
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",608,474,288,434,226,21,477,489,448,166
2 Guns (2013),18,339,561,610,292,380,475,68,279,573
20 Dates (1998),19,226,64,570,480,217,68,219,239,425
20 Feet from Stardom (Twenty Feet from Stardom) (2013),68,177,381,328,483,509,200,357,247,141
20 Million Miles to Earth (1957),345,271,555,288,477,469,590,51,387,600
"20,000 Days on Earth (2014)",305,249,62,573,63,561,239,68,247,434
"20,000 Leagues Under the Sea (1916)",230,570,330,144,321,425,530,512,379,354
"20,000 Leagues Under the Sea (1954)",200,525,19,249,414,84,469,298,45,202
200 Cigarettes (1999),274,480,68,600,226,266,64,570,453,239
2001 Maniacs (2005),608,249,307,590,226,381,380,477,438,483
2001: A Space Odyssey (1968),566,58,404,411,584,38,174,425,438,486
2010: The Year We Make Contact (1984),597,239,608,274,425,452,166,381,434,330
2012 (2009),247,474,182,226,380,581,378,307,298,438
2046 (2004),226,425,45,249,474,381,298,63,434,305
2048: Nowhere to Run (2017),414,68,608,274,380,480,182,590,448,474
21 (2008),477,438,414,475,509,328,580,279,596,434
21 Grams (2003),274,480,64,219,438,45,376,226,94,347
21 Jump Street (2012),414,549,407,608,274,177,231,439,291,380
21 Up (1977),219,380,249,561,200,298,525,608,480,307
21 and Over (2013),298,274,484,73,212,525,564,305,200,448
22 Jump Street (2014),274,380,177,68,483,239,292,475,317,608
24 Hour Party People (2002),239,438,425,608,232,434,307,68,489,288
25th Hour (2002),425,45,399,249,226,428,91,600,483,590
27 Dresses (2008),599,219,438,570,141,596,220,560,103,307
28 Days (2000),480,64,425,219,438,182,414,226,307,599
28 Days Later (2002),425,438,45,182,220,91,483,590,307,144
28 Up (1985),219,380,249,561,200,298,525,608,480,307
28 Weeks Later (2007),144,376,438,239,381,307,220,489,425,166
3 Days to Kill (2014),111,298,141,73,596,249,466,525,564,586
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),414,68,608,274,380,480,182,590,448,474
3 Idiots (2009),339,305,560,62,298,249,41,331,18,466
3 Ninjas (1992),232,249,608,610,480,68,298,489,177,288
3 Ninjas Kick Back (1994),438,239,274,480,68,425,380,573,600,354
3 Ninjas Knuckle Up (1995),274,480,68,600,226,608,64,414,489,599
3 Ninjas: High Noon On Mega Mountain (1998),409,216,469,275,597,538,572,224,115,226
3 Women (Three Women) (1977),608,480,307,68,593,489,288,64,590,226
3 dev adam (Three Giant Men) (1973) ,414,68,608,274,380,480,182,590,448,474
3-Iron (Bin-jip) (2004),339,474,305,560,62,298,249,41,331,63
30 Days of Night (2007),608,226,21,298,305,381,438,182,177,64
30 Minutes or Less (2011),18,68,414,339,177,279,573,434,352,380
300 (2007),64,425,45,182,226,428,254,91,600,469
3000 Miles to Graceland (2001),249,474,274,380,307,298,453,305,438,177
300: Rise of an Empire (2014),68,414,177,352,560,380,599,561,274,18
31 (2016),249,274,380,298,305,68,414,560,561,219
35 Up (1991),219,380,249,561,200,298,525,608,480,307
"39 Steps, The (1935)",438,249,414,226,425,200,18,294,561,354
3:10 to Yuma (1957),346,474,22,454,387,168,221,606,260,199
3:10 to Yuma (2007),15,378,249,474,425,580,182,220,370,582
4 Little Girls (1997),414,288,590,606,480,600,599,68,387,64
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",474,489,132,414,480,68,182,590,391,600
40 Days and 40 Nights (2002),474,600,339,232,381,352,177,428,560,239
"40-Year-Old Virgin, The (2005)",438,608,469,580,380,301,28,305,570,182
"400 Blows, The (Les quatre cents coups) (1959)",597,198,226,368,339,330,219,266,577,570
42 (2013),249,68,414,298,380,599,561,274,608,288
42 Up (1998),177,219,380,249,561,200,298,525,608,480
42nd Street (1933),414,381,525,232,288,483,274,509,249,328
47 Ronin (2013),414,339,380,573,434,352,105,560,599,111
48 Hrs. (1982),64,425,438,45,182,249,200,226,525,428
49 Up (2005),177,219,380,249,561,200,298,525,608,480
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),414,68,608,274,339,380,480,182,590,448
5 to 7 (2014),249,68,414,298,380,599,561,274,608,288
"5,000 Fingers of Dr. T, The (1953)",603,182,275,391,91,330,202,608,135,19
50 First Dates (2004),434,239,249,438,220,182,103,608,307,477
50/50 (2011),474,182,483,288,274,590,380,64,200,475
52 Pick-Up (1986),469,603,202,266,57,555,156,160,288,91
54 (1998),68,274,480,64,425,219,438,45,182,226
6 Days to Air: The Making of South Park (2011),380,298,68,610,305,534,274,62,18,448
61* (2001),317,553,17,405,295,424,417,131,415,76
"6th Day, The (2000)",64,425,45,249,226,428,91,600,483,590
"6th Man, The (Sixth Man, The) (1997)",274,294,19,480,68,368,600,226,57,608
7 Days in Hell (2015),380,298,68,610,305,534,274,62,18,448
7 Faces of Dr. Lao (1964),345,271,555,288,477,469,590,51,387,600
"7th Voyage of Sinbad, The (1958)",414,425,160,288,45,239,590,144,606,480
8 1/2 (8½) (1963),608,307,232,453,509,249,328,474,226,380
8 Heads in a Duffel Bag (1997),380,232,480,68,249,610,19,226,438,64
8 Mile (2002),239,608,425,166,434,330,156,380,18,28
8 Seconds (1994),599,68,608,480,474,274,182,288,590,448
8 Women (2002),249,474,381,298,63,434,305,239,219,18
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),597,469,474,202,275,156,489,132,414,480
800 Bullets (800 Balas) (2002),590,469,480,599,600,474,608,91,274,414
84 Charing Cross Road (1987),606,480,387,182,603,177,221,489,357,271
8MM (1999),68,274,480,64,425,219,469,298,438,45
9 (2009),249,307,200,380,608,298,590,305,226,438
9 1/2 Weeks (Nine 1/2 Weeks) (1986),525,19,249,200,217,438,381,232,425,474
9/11 (2002),187,132,322,193,16,144,301,41,178,443
96 Minutes (2011) ,249,68,414,298,380,599,561,274,608,288
964 Pinocchio (1991),414,68,608,274,380,480,182,590,448,474
99 francs (2007),249,68,381,298,63,434,305,239,483,480
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),249,560,305,18,298,68,62,483,610,105
A Bad Moms Christmas (2017),249,298,365,68,232,274,177,525,484,564
A Christmas Story Live! (2017),328,590,288,561,357,68,247,469,330,226
A Cosmic Christmas (1977),328,590,288,561,357,68,247,469,330,226
A Detective Story (2003),274,249,68,608,219,561,610,534,414,590
A Dog's Purpose (2017),564,111,298,177,249,525,141,232,365,68
A Flintstones Christmas Carol (1994),564,111,298,177,249,525,141,232,365,68
A German Life (2016),247,328,18,212,339,103,525,105,305,233
A Home at the End of the World (2004),68,274,480,64,425,219,438,45,182,414
A Man Called Blade (1977),414,68,608,274,380,480,182,590,448,474
A Man from Boulevard des Capucines (1987),15,141,466,249,21,475,18,68,62,105
A Merry Friggin' Christmas (2014),534,249,292,475,561,380,62,68,18,141
A Midsummer Night's Dream (2016),475,586,596,62,15,582,247,466,30,551
A Million Ways to Die in the West (2014),608,274,380,475,305,177,182,352,525,590
A Most Wanted Man (2014),599,68,608,480,474,274,182,288,590,448
A Perfect Day (2015),564,111,298,177,249,525,141,232,365,68
A Pigeon Sat on a Branch Reflecting on Existence (2014),560,298,68,483,105,596,414,525,274,339
A Plasticine Crow (1981),339,305,560,62,298,249,41,331,63,18
A Quiet Place (2018),380,298,610,534,274,62,18,448,219,21
A Silent Voice (2016),596,249,586,62,212,534,475,561,305,610
A Story of Children and Film (2013),249,560,305,18,298,68,62,483,610,105
A Street Cat Named Bob (2016),148,247,291,205,475,459,466,582,426,581
A Very Murray Christmas (2015),249,68,381,298,63,434,305,239,483,480
A Walk in the Woods (2015),564,111,298,177,249,525,141,232,365,68
A Wrinkle in Time (2018),328,590,288,561,357,68,247,469,330,226
"A-Team, The (2010)",307,226,477,438,434,339,328,239,298,279
A.I. Artificial Intelligence (2001),425,45,226,428,91,590,466,307,21,434
"ABCs of Death, The (2012)",249,274,380,298,305,68,414,560,561,219
ARQ (2016),249,18,339,561,610,298,380,62,68,279
AVP: Alien vs. Predator (2004),64,425,438,45,182,249,474,330,381,307
AVPR: Aliens vs. Predator - Requiem (2007),249,274,608,339,590,381,483,279,177,68
"Abandoned, The (2006)",249,274,380,298,305,68,414,560,561,219
Abbott and Costello Meet Frankenstein (1948),414,91,590,274,217,606,480,202,600,19
Abduction (2011),10,177,525,143,280,509,73,111,104,564
"Abominable Dr. Phibes, The (1971)",590,469,480,599,600,474,608,91,274,414
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",345,271,555,288,477,469,590,51,387,600
About Adam (2000),599,68,608,480,474,274,288,590,448,307
About Last Night (2014),68,414,380,599,561,274,608,288,590,483
About Last Night... (1986),274,448,266,307,380,438,232,298,469,217
About Schmidt (2002),68,274,480,64,425,219,438,45,226,573
About Time (2013),608,474,182,288,274,380,590,475,307,305
About a Boy (2002),249,94,347,608,274,446,235,305,470,8
Above the Law (1988),45,608,68,368,19,453,414,135,91,217
Above the Rim (1994),274,480,68,600,226,608,64,414,489,599
Abraham Lincoln: Vampire Hunter (2012),608,274,380,434,328,239,298,279,305,177
Absence of Malice (1981),414,288,590,606,480,600,599,68,387,64
"Absent-Minded Professor, The (1961)",182,608,480,307,68,448,380,489,217,438
Absentia (2011),249,274,380,298,305,68,414,560,561,219
Absolute Power (1997),68,270,608,274,150,19,249,206,314,452
Absolutely Anything (2015),249,21,380,573,483,561,68,292,475,509
"Abyss, The (1989)",64,425,438,144,376,249,226,220,483,597
Accepted (2006),599,608,480,474,182,288,483,434,239,600
"Accidental Spy, The (Dak miu mai shing) (2001)",249,274,380,298,305,68,414,560,561,219
"Accidental Tourist, The (1988)",489,469,132,414,480,357,68,275,182,590
"Accused, The (1988)",330,489,438,469,239,608,132,414,480,221
Ace Ventura: Pet Detective (1994),38,530,476,609,485,192,386,8,566,507
Ace Ventura: When Nature Calls (1995),507,458,411,588,133,498,447,81,486,109
"Ace in the Hole (Big Carnival, The) (1951)",249,560,305,18,298,68,62,483,610,105
Aces: Iron Eagle III (1992),330,570,19,480,425,64,590,45,452,217
"Acid House, The (1998)",608,480,414,64,453,599,91,68,391,425
Across the Hall (2009),380,298,68,610,305,534,274,62,18,448
Across the Universe (2007),599,608,474,182,288,610,434,239,328,448
"Act of Killing, The (2012)",221,330,156,275,469,391,480,570,166,474
Act of Valor (2012),393,573,432,239,249,331,305,561,211,247
Action Jackson (1988),599,68,608,480,474,274,182,288,217,19
Adam and Eve (National Lampoon's Adam & Eve) (2005),414,68,608,274,380,480,182,590,448,474
Adam's Apples (Adams æbler) (2005),573,63,561,68,434,590,380,483,219,328
Adam's Rib (1949),381,525,232,274,509,249,328,380,103,200
Adanggaman (2000),381,525,169,608,177,232,64,68,380,288
Adaptation (2002),425,144,45,376,249,226,428,91,590,274
Addams Family Reunion (1998),254,233,434,581,16,166,417,247,61,420
Addams Family Values (1993),145,485,498,347,102,486,458,379,411,176
"Addams Family, The (1991)",480,425,219,438,182,226,428,91,590,19
Addicted to Love (1997),68,608,274,266,438,380,232,480,298,469
"Addiction, The (1995)",249,68,608,219,561,610,534,414,590,480
"Adjustment Bureau, The (2011)",474,182,274,247,380,434,328,239,307,279
Admission (2013),480,608,381,219,414,590,274,434,239,425
Adventureland (2009),68,573,608,274,381,475,434,328,239,305
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),339,305,560,62,298,249,41,331,63,18
Adventures in Babysitting (1987),480,64,425,219,469,438,45,182,226,428
Adventures in Plymptoons! (2011),414,68,608,274,380,480,182,590,448,474
"Adventures of Baron Munchausen, The (1988)",249,608,274,307,380,525,298,177,453,305
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",68,608,274,425,597,489,166,381,177,610
"Adventures of Elmo in Grouchland, The (1999)",577,156,217,572,597,288,290,186,216,1
"Adventures of Ford Fairlane, The (1990)",68,608,274,438,380,232,480,182,298,177
"Adventures of Huck Finn, The (1993)",232,249,608,610,480,307,68,438,298,489
"Adventures of Ichabod and Mr. Toad, The (1949)",608,525,480,307,232,68,469,489,509,249
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",534,249,292,475,561,380,62,68,18,141
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",232,249,610,480,19,307,68,438,298,489
Adventures of Mowgli: The Kidnapping (1968),339,305,560,62,298,249,41,331,63,18
"Adventures of Pinocchio, The (1996)",446,58,174,340,584,411,314,38,404,566
"Adventures of Pluto Nash, The (2002)",249,68,414,232,381,200,428,298,239,380
"Adventures of Priscilla, Queen of the Desert, The (1994)",446,38,512,404,455,235,94,411,117,240
"Adventures of Robin Hood, The (1938)",288,219,608,469,217,368,239,414,226,64
"Adventures of Rocky and Bullwinkle, The (2000)",474,217,555,294,249,477,68,307,232,381
"Adventures of Sebastian Cole, The (1998)",599,68,608,480,474,274,182,288,590,448
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",274,480,68,226,608,64,489,599,330,219
"Adventures of Tintin, The (2011)",274,21,434,239,298,279,590,305,247,68
Advise and Consent (1962),221,16,137,23,469,290,59,295,415,76
Aelita: The Queen of Mars (Aelita) (1924),345,271,555,288,477,469,590,51,387,600
Aeon Flux (2005),68,480,64,425,45,182,474,226,132,599
"Affair of Love, An (Liaison pornographique, Une) (1999)",474,489,132,414,480,68,182,590,391,600
"Affair of the Necklace, The (2001)",608,414,599,91,68,391,580,219,428,274
"Affair to Remember, An (1957)",219,414,561,298,294,19,307,381,525,368
Afflicted (2013),249,274,380,298,305,68,414,560,561,219
Affliction (1997),68,608,274,597,380,480,469,590,448,307
Afonya (1975),339,305,560,62,298,249,41,331,63,18
Africa: The Serengeti (1994),599,68,608,480,474,274,182,288,590,448
African Cats (2011),249,68,414,298,380,599,561,274,608,288
"African Queen, The (1951)",573,486,219,274,559,608,314,386,597,19
Afro Samurai (2007),414,68,608,274,380,480,182,590,448,474
Afro Samurai: Resurrection (2009),247,328,18,212,339,103,525,105,305,233
After Earth (2013),68,414,298,380,599,274,608,288,590,483
After Hours (1985),64,239,249,438,226,425,330,381,608,489
After Life (Wandafuru raifu) (1998),156,391,603,290,597,474,469,221,202,198
After the Fox (Caccia alla volpe) (1966),590,469,480,599,600,474,608,91,274,414
After the Sunset (2004),219,608,480,561,274,414,381,200,428,239
After the Thin Man (1936),414,239,480,425,166,434,330,288,608,64
After the Wedding (Efter brylluppet) (2006),414,288,590,606,480,600,599,68,387,64
Afterglow (1997),597,469,202,275,391,156,182,474,57,414
Against All Odds (1984),274,19,448,307,380,217,438,232,590,298
Against the Ropes (2004),599,219,608,480,474,68,288,274,448,307
"Age of Innocence, The (1993)",458,235,181,584,446,347,530,174,512,8
Agent Cody Banks (2003),599,608,474,288,448,307,453,438,328,298
Agent Cody Banks 2: Destination London (2004),446,321,570,347,489,584,425,592,117,559
Agnes of God (1985),274,19,448,307,380,217,438,232,590,298
"Agony and the Ecstasy, The (1965)",345,271,555,288,477,469,590,51,387,600
Agora (2009),249,18,339,561,610,298,380,62,68,279
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",339,590,305,469,560,480,239,599,62,600
Aileen: Life and Death of a Serial Killer (2003),414,288,590,606,480,600,599,399,68,387
Air America (1990),330,474,570,182,217,425,249,57,68,307
Air Bud (1997),219,232,590,307,294,249,414,610,368,381
Air Bud: Golden Receiver (1998),219,232,590,307,294,249,414,610,368,381
Air Force One (1997),480,64,469,226,573,580,603,380,385,307
"Air I Breathe, The (2007)",414,608,480,274,177,590,489,219,483,64
"Air Up There, The (1994)",68,608,274,438,380,232,480,182,298,177
Airborne (1993),414,68,608,274,380,480,182,590,448,474
Airheads (1994),46,592,102,117,56,58,134,584,447,386
Airplane II: The Sequel (1982),68,608,274,19,217,380,232,480,182,606
Airplane! (1980),144,376,249,254,230,603,370,239,202,354
Airport '77 (1977),330,469,570,603,425,249,64,68,202,266
Airport (1970),414,249,288,606,298,380,600,561,599,274
Airport 1975 (1974),469,603,249,68,202,414,266,57,217,298
Akeelah and the Bee (2006),483,561,274,381,448,307,288,380,438,590
Akira (1988),220,64,166,425,438,45,249,226,282,254
Akira Kurosawa's Dreams (Dreams) (1990),590,469,480,599,600,474,608,91,274,414
Aladdin (1992),229,8,530,411,340,121,588,56,192,602
Aladdin and the King of Thieves (1996),240,584,126,181,470,592,447,94,347,395
"Alamo, The (1960)",19,480,68,217,274,64,294,469,597,226
Alan Partridge: Alpha Papa (2013),249,68,414,298,380,599,561,274,608,288
Alaska (1996),117,541,446,566,592,602,58,404,470,559
Alaska: Spirit of the Wild (1997),590,414,480,68,469,474,608,600,91,274
Albatross (2011),249,68,414,298,380,599,561,274,608,288
Albino Alligator (1996),414,68,608,274,385,380,480,182,590,84
Alesha Popovich and Tugarin the Dragon (2004),339,305,560,62,298,249,41,331,63,18
Alex Cross (2012),249,68,414,298,380,599,561,274,608,288
Alex and Emma (2003),599,68,608,480,474,274,182,288,590,448
Alexander (2004),132,182,249,599,610,477,64,608,298,141
Alexander Nevsky (Aleksandr Nevskiy) (1938),474,489,132,414,480,68,182,590,391,600
Alfie (1966),414,288,590,606,480,600,599,68,64,91
Alfie (2004),599,474,274,182,288,525,448,307,483,380
Ali (2001),68,608,64,219,274,239,474,590,226,425
Ali G Indahouse (2002),414,68,608,274,62,18,573,380,177,480
Ali Wong: Baby Cobra (2016),249,298,365,68,232,274,177,525,484,564
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),608,480,307,68,489,288,275,64,590,226
Alias Betty (Betty Fisher et autres histoires) (2001),198,330,182,91,275,570,64,469,202,195
Alice (1990),608,274,380,474,448,469,307,477,219,561
Alice (2009),381,177,509,556,200,483,600,68,380,274
Alice (Neco z Alenky) (1988),414,68,608,274,380,480,182,590,448,474
Alice Adams (1935),414,288,590,606,480,600,599,68,387,64
Alice Doesn't Live Here Anymore (1974),249,274,380,298,305,68,590,469,600,414
Alice Through the Looking Glass (2016),30,439,407,494,231,557,249,68,414,17
Alice in Wonderland (1933),345,271,555,288,477,469,590,51,387,600
Alice in Wonderland (1951),240,43,411,455,446,102,94,447,584,566
Alice in Wonderland (2010),590,381,328,64,438,608,600,239,425,580
Alien (1979),438,45,486,226,94,220,314,386,176,266
Alien Contamination (1980),161,518,288,555,562,84,368,234,561,304
Alien Nation (1988),68,608,274,249,217,438,380,232,480,182
Alien from L.A. (1988),345,271,555,288,477,469,590,51,387,600
Alien: Covenant (2017),414,298,68,608,274,610,21,381,480,182
Alien: Resurrection (1997),219,438,45,226,132,360,91,600,580,597
Aliens (1986),64,438,144,45,486,226,300,103,559,314
Alien³ (a.k.a. Alien 3) (1992),219,438,45,226,91,600,232,597,370,166
Alive (1993),608,480,19,68,239,489,217,438,570,380
All About Eve (1950),219,274,608,425,597,166,19,232,381,330
All About Lily Chou-Chou (Riri Shushu no subete) (2001),590,469,480,599,600,474,608,91,274,414
All About My Mother (Todo sobre mi madre) (1999),608,597,307,198,249,368,469,298,226,200
All About the Benjamins (2002),599,68,608,480,474,274,182,288,600,226
"All Dogs Christmas Carol, An (1998)",564,111,298,177,249,525,141,232,365,68
All Dogs Go to Heaven (1989),68,480,64,425,219,438,45,182,414,226
All Dogs Go to Heaven 2 (1996),126,94,395,379,592,458,455,170,512,447
All Good Things (2010),249,68,414,105,247,298,380,599,561,274
All Is Lost (2013),414,249,475,68,247,381,298,63,434,380
All Over the Guy (2001),68,219,480,381,489,226,141,590,438,434
All Quiet on the Western Front (1930),381,274,608,219,68,590,480,226,434,606
All Roads Lead to Rome (2016),249,68,414,298,380,599,561,274,608,288
All That Heaven Allows (1955),608,597,480,307,68,489,64,590,469,226
All That Jazz (1979),480,266,453,599,469,217,68,425,219,202
"All This, and Heaven Too (1940)",271,377,440,555,587,288,146,590,603,51
All Watched Over by Machines of Loving Grace (2011),249,560,305,18,298,68,62,483,610,105
All Yours (2016),564,111,298,177,249,525,141,232,365,68
All is Bright (2013),249,68,414,298,380,599,561,274,608,288
All of Me (1984),414,288,590,606,480,600,599,68,387,64
All or Nothing (2002),599,474,274,288,590,448,425,307,182,380
All the Boys Love Mandy Lane (2006),434,239,425,330,570,432,549,17,220,332
All the King's Men (1949),414,288,494,590,606,480,600,599,68,387
All the King's Men (2006),274,448,239,307,288,380,438,232,590,298
All the President's Men (1976),608,425,166,469,330,239,226,434,298,28
All the Pretty Horses (2000),414,438,239,288,28,182,608,474,91,425
All the Real Girls (2003),274,448,307,288,380,438,232,590,298,606
All the Right Moves (1983),414,434,288,590,606,480,330,600,599,68
All the Vermeers in New York (1990),597,469,202,275,391,156,182,474,57,414
All-Star Superman (2011),414,249,68,608,274,610,534,381,305,480
Allan Quatermain and the Lost City of Gold (1987),19,452,21,288,469,597,534,249,330,380
Allegro non troppo (1977),345,271,555,288,477,469,590,51,387,600
Alles Inklusive (2014),41,241,153,233,215,300,581,497,193,209
Alligator (1980),414,68,608,274,19,380,480,182,590,294
"Allnighter, The (1987)",599,68,608,480,474,274,217,182,288,555
Almost Famous (2000),144,376,249,220,483,101,141,469,239,380
Almost Heroes (1998),414,68,64,608,274,200,45,381,330,380
Almost an Angel (1990),414,68,608,274,380,480,182,590,448,474
Aloha (2015),249,68,274,610,305,414,480,560,448,111
Alone in the Dark (2005),274,480,68,600,226,608,64,414,489,599
Alone in the Dark II (2008),68,219,480,381,489,226,141,590,438,434
Along Came Polly (2004),239,425,330,182,434,274,380,339,305,477
Along Came a Spider (2001),68,480,64,425,438,45,182,414,226,599
Alpha (2018),249,247,18,475,305,596,551,212,352,105
Alpha Dog (2007),599,474,534,182,288,18,448,339,21,561
Alpha and Omega 3: The Great Wolf Games (2014),564,111,298,177,249,525,141,232,365,68
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",239,480,425,166,434,330,608,64,18,219
Altered (2006),249,274,380,298,305,68,414,560,561,219
Altered States (1980),608,597,480,307,68,489,64,590,469,226
Alvarez Kelly (1966),27,309,554,290,156,469,188,590,285,29
Alvin and the Chipmunks (2007),381,525,274,328,480,357,103,200,132,21
Alvin and the Chipmunks: Chipwrecked (2011),328,63,434,226,18,330,525,64,274,561
Alvin and the Chipmunks: The Squeakquel (2009),328,63,434,226,18,330,525,64,274,561
Always (1989),68,608,274,249,438,380,232,480,182,606
Always Watching: A Marble Hornets Story (2015),111,401,73,148,601,98,586,21,564,534
Amadeus (1984),376,486,226,608,220,274,314,386,141,434
Amanda Knox (2016),68,177,381,328,483,509,200,357,247,141
Amarcord (1973),275,474,469,597,489,330,132,414,480,57
Amateur (1994),597,469,202,275,391,156,182,474,57,414
Amazing Grace (2006),239,580,480,434,219,305,414,590,68,166
Amazing Grace and Chuck (1987),224,357,480,45,590,275,607,453,469,156
"Amazing Panda Adventure, The (1995)",181,411,136,38,373,604,559,284,436,43
"Amazing Spider-Man, The (2012)",608,466,274,231,399,439,434,239,438,182
"Amazing Transparent Man, The (1960)",345,271,555,288,477,469,590,51,387,600
Amazon Women on the Moon (1987),330,91,480,425,64,570,608,239,266,282
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",249,438,94,347,608,274,307,380,601,446
Amen. (2002),414,288,453,249,590,606,91,68,381,298
Amer (2009),254,233,434,581,16,166,417,247,61,420
America's Sweethearts (2001),239,425,608,434,307,18,328,339,610,288
"American Astronaut, The (2001)",599,68,608,480,474,274,182,288,590,448
American Beauty (1999),438,376,94,347,91,380,266,446,308,25
American Buffalo (1996),414,68,608,274,380,480,182,590,448,474
"American Carol, An (2008)",328,590,288,561,357,68,247,469,330,226
