user_ID,movie 1,movie 2,movie 3,movie 4,movie 5,movie 6,movie 7,movie 8,movie 9,movie 10,movie 11,movie 12,movie 13,movie 14,movie 15,movie 16,movie 17,movie 18,movie 19,movie 20,movie 21,movie 22,movie 23,movie 24,movie 25
12,Back to the Future (1985),Arthur (1981),Men in Black (a.k.a. MIB) (1997),Monty Python and the Holy Grail (1975),Ferris Bueller's Day Off (1986),Armed and Dangerous (1986),"Princess Bride, The (1987)",Nothing in Common (1986),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode IV - A New Hope (1977),"Money Pit, The (1986)",Being John Malkovich (1999),Indiana Jones and the Last Crusade (1989),Star Wars: Episode I - The Phantom Menace (1999),"Breakfast Club, The (1985)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Mrs. Doubtfire (1993),Red Sonja (1985),Star Wars: Episode V - The Empire Strikes Back (1980),Shrek (2001),Austin Powers: International Man of Mystery (1997),Get Shorty (1995),Romancing the Stone (1984),"Truman Show, The (1998)",Rocky IV (1985)
13,Indiana Jones and the Last Crusade (1989),Pulp Fiction (1994),Mrs. Doubtfire (1993),Sleepless in Seattle (1993),Ghost (1990),X2: X-Men United (2003),Gerry (2002),Crossroads (1986),"Claim, The (2000)","Lord of the Rings: The Two Towers, The (2002)",Spider-Man (2002),American Beauty (1999),"Silence of the Lambs, The (1991)",Back to the Future (1985),Girlfight (2000),Star Wars: Episode I - The Phantom Menace (1999),Home Alone (1990),"Fifth Element, The (1997)",Braveheart (1995),"Terminator, The (1984)","Princess Bride, The (1987)",Shrek (2001),Star Wars: Episode VI - Return of the Jedi (1983),Unbreakable (2000),Jurassic Park (1993)
14,Die Hard: With a Vengeance (1995),Independence Day (a.k.a. ID4) (1996),Reservoir Dogs (1992),Star Wars: Episode VI - Return of the Jedi (1983),Crimson Tide (1995),Goodfellas (1990),"Matrix, The (1999)",American Beauty (1999),Mission: Impossible (1996),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Jumanji (1995),Terminator 2: Judgment Day (1991),Star Trek: Generations (1994),"Lord of the Rings: The Return of the King, The (2003)",True Lies (1994),Fargo (1996),Star Wars: Episode V - The Empire Strikes Back (1980),Fight Club (1999),Saving Private Ryan (1998),"Godfather, The (1972)","Net, The (1995)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Toy Story (1995),Outbreak (1995),Memento (2000)
15,"Godfather: Part II, The (1974)",The Brothers Grimsby (2016),The Night Before (2015),RoboCop (1987),Star Trek Beyond (2016),"Green Hornet, The (2011)",Braveheart (1995),Neighbors 2: Sorority Rising (2016),"Wolverine, The (2013)",Ghostbusters (2016),This Is 40 (2012),Indiana Jones and the Last Crusade (1989),Mrs. Doubtfire (1993),Speed (1994),Batman (1989),Movie 43 (2013),A Million Ways to Die in the West (2014),Masterminds (2016),Dumb and Dumber To (2014),"Fugitive, The (1993)",Die Hard (1988),"Usual Suspects, The (1995)",The Hunger Games: Catching Fire (2013),Safe House (2012),300: Rise of an Empire (2014)
16,Star Wars: Episode VI - Return of the Jedi (1983),Indiana Jones and the Last Crusade (1989),Star Wars: Episode I - The Phantom Menace (1999),Iron Man (2008),"Terminator, The (1984)",Back to the Future (1985),Spider-Man (2002),Aliens (1986),Minority Report (2002),Die Hard (1988),"Fistful of Dollars, A (Per un pugno di dollari) (1964)",Mrs. Doubtfire (1993),Shutter Island (2010),Independence Day (a.k.a. ID4) (1996),Jurassic Park (1993),"Fugitive, The (1993)",Saving Private Ryan (1998),Avatar (2009),Dances with Wolves (1990),"Lion King, The (1994)","Grand Budapest Hotel, The (2014)",Army of Darkness (1993),For a Few Dollars More (Per qualche dollaro in più) (1965),Harry Potter and the Prisoner of Azkaban (2004),"Fifth Element, The (1997)"
17,Star Trek IV: The Voyage Home (1986),Star Trek II: The Wrath of Khan (1982),Up (2009),Star Trek VI: The Undiscovered Country (1991),Star Trek: The Motion Picture (1979),Iron Man (2008),Speed (1994),"Fugitive, The (1993)",Aliens (1986),Alien (1979),"Road Warrior, The (Mad Max 2) (1981)",Spider-Man (2002),RoboCop (1987),Mrs. Doubtfire (1993),Twister (1996),Minority Report (2002),True Lies (1994),"Fifth Element, The (1997)",Bambi (1942),Die Hard 2 (1990),Clear and Present Danger (1994),Cinderella (1950),E.T. the Extra-Terrestrial (1982),Gladiator (2000),Avatar (2009)
18,Pumping Iron (1977),To Grandmother's House We Go (1992),Chris Rock: Bigger & Blacker (1999),Mutant Aliens (2001),Too Many Cooks (2014),Frozen Planet (2011),Luxo Jr. (1986),Home (2009),The Brand New Testament (2015),"Accused, The (1988)",R.I.P.D. (2013),Muppets Most Wanted (2014),Black Panther (2017),"Monuments Men, The (2014)",Thor: Ragnarok (2017),Star Trek VI: The Undiscovered Country (1991),Justice League: The New Frontier (2008) ,Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),JCVD (2008),Ultimate Avengers (2006),Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),All-Star Superman (2011),Justice League: Crisis on Two Earths (2010),Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin) (1992)
19,Parasite (1982),Two Moon Junction (1988),Bastard Out of Carolina (1996),"Notorious Bettie Page, The (2005)",18 Again! (1988),Real Women Have Curves (2002),All the Real Girls (2003),Heaven (2002),Stone Reader (2002),"Cat's Meow, The (2002)",Gross Anatomy (a.k.a. A Cut Above) (1989),Northfork (2003),Paradise Now (2005),"History Boys, The (2006)","Pirate Movie, The (1982)",Nicholas Nickleby (2002),Nowhere in Africa (Nirgendwo in Afrika) (2001),"Tall Guy, The (1989)",Angels with Dirty Faces (1938),Wuthering Heights (1939),Destry Rides Again (1939),Little Women (1949),Sherlock Jr. (1924),Mr. Deeds Goes to Town (1936),Our Hospitality (1923)
20,"Pirate Movie, The (1982)",Real Women Have Curves (2002),Northfork (2003),"Notorious Bettie Page, The (2005)",Nicholas Nickleby (2002),Nowhere in Africa (Nirgendwo in Afrika) (2001),Valley Girl (1983),Halloween II (2009),Tremors 3: Back to Perfection (2001),Dog Soldiers (2002),Wallace & Gromit: A Close Shave (1995),Batman: Year One (2011),Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),"Pyromaniac's Love Story, A (1995)",Candleshoe (1977),Class of Nuke 'Em High (1986),"Ugly, The (1997)","Twelve Chairs, The (1970)",Chairman of the Board (1998),"Pest, The (1997)",Turbulence (1997),"Dark Half, The (1993)",Oxygen (1999),Deadtime Stories (1987),That Darn Cat (1997)
21,Hush (2016),Jack Whitehall: At Large (2017),"Very Harold & Kumar 3D Christmas, A (2011)",Runner Runner (2013),"Lion King 1½, The (2004)",Home (2009),Frozen Planet (2011),Luxo Jr. (1986),Filth (2013),Savages (2012),Knights of Badassdom (2013),The Wedding Ringer (2015),"Island, The (2005)",Zoolander 2 (2016),High School Musical 2 (2007),Desierto (2016),Mojave (2015),Son of a Gun (2014),Someone Marry Barry (2014),Death on the Nile (1978),Vigilante Diaries (2016),Battle For Sevastopol (2015),Homefront (2013),SORI: Voice from the Heart (2016),ARQ (2016)
22,Pulp Fiction (1994),Planet Terror (2007),2001: A Space Odyssey (1968),"Silence of the Lambs, The (1991)",Shrek 2 (2004),Pirates of the Caribbean: Dead Man's Chest (2006),Sin City (2005),Knocked Up (2007),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),"Usual Suspects, The (1995)","Vanishing, The (1993)",Pineapple Express (2008),300 (2007),Schindler's List (1993),Mrs. Doubtfire (1993),Spider-Man (2002),Ocean's Eleven (2001),Harry Potter and the Prisoner of Azkaban (2004),Speed (1994),Braveheart (1995),Minority Report (2002),Ice Age (2002),X-Men (2000),"Terminator, The (1984)",Friends with Money (2006)
23,"Sword of Doom, The (Dai-bosatsu tôge) (1966)",Azumi (2003),"Affair of Love, An (Liaison pornographique, Une) (1999)",Days of Heaven (1978),Affliction (1997),"Daytrippers, The (1996)",Gerry (2002),Crossroads (1986),Standing in the Shadows of Motown (2002),Sibling Rivalry (1990),Savannah Smiles (1982),Noises Off... (1992),"Three Faces of Eve, The (1957)","Short Film About Killing, A (Krótki film o zabijaniu) (1988)",Spider-Man (2002),X2: X-Men United (2003),"Kite Runner, The (2007)",Spider (2002),White Heat (1949),Buffalo Soldiers (2001),Lost in La Mancha (2002),Braveheart (1995),"Shawshank Redemption, The (1994)",X-Men: The Last Stand (2006),"Monsters, Inc. (2001)"
24,"Lucky One, The (2012)",Beastly (2011),My Life in Ruins (2009),Material Girls (2006),Before We Go (2014),"Back-up Plan, The (2010)","Last Song, The (2010)",Abduction (2011),The Last Five Years (2014),What to Expect When You're Expecting (2012),"Angus, Thongs and Perfect Snogging (2008)",Safe Haven (2013),"Love, Rosie (2014)",Did You Hear About the Morgans? (2009),Dear John (2010),Just My Luck (2006),You Again (2010),"Sisterhood of the Traveling Pants 2, The (2008)",LOL (2012),RoboCop (1987),Face/Off (1997),Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Sin City (2005),"Terminator, The (1984)",The DUFF (2015)
25,Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Guardians of the Galaxy 2 (2017),Untitled Spider-Man Reboot (2017),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Ace Ventura: Pet Detective (1994),Iron Man 2 (2010),Star Wars: The Last Jedi (2017),Indiana Jones and the Last Crusade (1989),Spider-Man (2002),Star Wars: Episode I - The Phantom Menace (1999),Minority Report (2002),"Shawshank Redemption, The (1994)",X-Men (2000),Back to the Future (1985),District 9 (2009),Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Temple of Doom (1984),State of Play (2009),Forrest Gump (1994),Avatar (2009),Die Hard: With a Vengeance (1995),Black Panther (2017),"Princess Bride, The (1987)",Star Trek (2009)
26,Speed (1994),"Shawshank Redemption, The (1994)",Outbreak (1995),Stargate (1994),Terminator 2: Judgment Day (1991),Crimson Tide (1995),"Lion King, The (1994)",Ace Ventura: When Nature Calls (1995),Schindler's List (1993),Addams Family Values (1993),Fargo (1996),Reservoir Dogs (1992),Pretty Woman (1990),Star Wars: Episode IV - A New Hope (1977),Toy Story (1995),Goodfellas (1990),"Matrix, The (1999)","Usual Suspects, The (1995)",American Beauty (1999),Dumb & Dumber (Dumb and Dumber) (1994),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),In the Line of Fire (1993),"Mask, The (1994)",Star Trek: Generations (1994),Braveheart (1995)
27,Au Hasard Balthazar (1966),"Unvanquished, The (Aparajito) (1957)",Day of Wrath (Vredens dag) (1943),"Fountainhead, The (1949)","Ordet (Word, The) (1955)",Monkey Business (1952),Earthquake (1974),"Sound of Thunder, A (2005)",Two Much (1995),Battle for the Planet of the Apes (1973),Freaky Friday (1977),Tideland (2005),"Day at the Races, A (1937)",Oliver Twist (2005),Murder by Death (1976),Diary of a Country Priest (Journal d'un curé de campagne) (1951),May (2002),"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Beyond the Poseidon Adventure (1979),Batman (1989),Star Wars: Episode II - Attack of the Clones (2002),Star Trek: Generations (1994),Outbreak (1995),The Emperor's Club (2002),Schindler's List (1993)
28,"Dancer Upstairs, The (2002)",Love Liza (2002),Blue Car (2002),"Barbarian Invasions, The (Les invasions barbares) (2003)","Son's Room, The (Stanza del figlio, La) (2001)",Moonlight Mile (2002),Sweet Sixteen (2002),Ruby Sparks (2012),Sorority Boys (2002),Northfork (2003),Real Women Have Curves (2002),"Cat's Meow, The (2002)",Gross Anatomy (a.k.a. A Cut Above) (1989),Heaven (2002),High Crimes (2002),Stolen Summer (2002),"Four Feathers, The (2002)",That Touch of Mink (1962),Please Don't Eat the Daisies (1960),Love Story (1970),"Grass Is Greener, The (1960)",Imitation of Life (1959),Washington Square (1997),Camille Claudel (1988),I Was a Male War Bride (1949)
29,Mission: Impossible (1996),Iron Man 2 (2010),Max Keeble's Big Move (2001),"Element of Crime, The (Forbrydelsens Element) (1984)",Ex Drummer (2007),Tetro (2009),Disgrace (2008),True Lies (1994),Star Trek Into Darkness (2013),Pierrot le fou (1965),Deadpool (2016),The Martian (2015),Back to the Future Part II (1989),Captain America: The First Avenger (2011),Monty Python's Life of Brian (1979),"Sixth Sense, The (1999)",Star Wars: Episode VII - The Force Awakens (2015),Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),Waterworld (1995),Twister (1996),Thor (2011),Batman (1989),Star Wars: Episode VI - Return of the Jedi (1983),"Avengers, The (2012)","Prestige, The (2006)"
30,Jurassic Park (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Sixth Sense, The (1999)",District 9 (2009),Speed (1994),Batman (1989),Indiana Jones and the Temple of Doom (1984),"Fugitive, The (1993)",Total Recall (1990),Alien (1979),Kill Bill: Vol. 2 (2004),Gladiator (2000),The Amazing Spider-Man 2 (2014),"Usual Suspects, The (1995)",Spider-Man (2002),Sin City (2005),RoboCop (1987),Star Wars: Episode VII - The Force Awakens (2015),22 Jump Street (2014),Pulp Fiction (1994),Men in Black (a.k.a. MIB) (1997),Forrest Gump (1994),Minority Report (2002),Independence Day (a.k.a. ID4) (1996),Saving Private Ryan (1998)
31,"Daytrippers, The (1996)",Going My Way (1944),Terminator 2: Judgment Day (1991),Indiana Jones and the Last Crusade (1989),Indiana Jones and the Temple of Doom (1984),Total Recall (1990),Legal Eagles (1986),"Secret of My Succe$s, The (a.k.a. The Secret of My Success) (1987)",Star Trek II: The Wrath of Khan (1982),Road House (1989),"Fifth Element, The (1997)",Die Hard 2 (1990),"Dream Team, The (1989)",Marked for Death (1990),E.T. the Extra-Terrestrial (1982),Saving Private Ryan (1998),2001: A Space Odyssey (1968),Blade Runner (1982),Predator (1987),"Matrix, The (1999)",Sleepless in Seattle (1993),Star Wars: Episode I - The Phantom Menace (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Seven (a.k.a. Se7en) (1995),Braveheart (1995)
32,Indiana Jones and the Last Crusade (1989),Star Wars: Episode I - The Phantom Menace (1999),"Terminator, The (1984)",Alien (1979),Aliens (1986),Hang 'Em High (1968),Star Trek II: The Wrath of Khan (1982),Die Hard 2 (1990),Indiana Jones and the Temple of Doom (1984),Saving Private Ryan (1998),Reservoir Dogs (1992),Ferris Bueller's Day Off (1986),"Fifth Element, The (1997)",Blade Runner (1982),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Seven (a.k.a. Se7en) (1995),Forrest Gump (1994),Monty Python's The Meaning of Life (1983),Goodfellas (1990),"Lord of the Rings: The Return of the King, The (2003)",Apollo 13 (1995),Braveheart (1995),Rize (2005),Skin Deep (1989),From the Hip (1987)
33,Comedian (2002),Hamlet (1948),Moonlight Mile (2002),Sweet Sixteen (2002),"Barbarian Invasions, The (Les invasions barbares) (2003)","Last Days, The (1998)",The Spiral Staircase (1945),"Hunting of the President, The (2004)",Transsiberian (2008),Blueberry (2004),"Nines, The (2007)",Black Book (Zwartboek) (2006),Blindness (2008),Dinner Rush (2000),Stargate: Continuum (2008),Battle for Haditha (2007),Frozen River (2008),"Power of One, The (1992)",Shotgun Stories (2007),Shooting Dogs (a.k.a. Beyond the Gates) (2005),Appaloosa (2008),"Visitor, The (2007)","Walker, The (2007)",Last of the Dogmen (1995),On a Clear Day (2005)
34,Scenes from a Mall (1991),Jurassic Park (1993),Puss in Boots: The Three Diablos (2012),Late Night Shopping (2001),Jersey Boys (2014),El Cid (1961),"Angels' Share, The (2012)",George Harrison: Living in the Material World (2011),Paper Birds (Pájaros de papel) (2010),Phineas and Ferb the Movie: Across the 2nd Dimension (2011),Playing for Keeps (2012),Diary of a Wimpy Kid: Dog Days (2012),Cell 211 (Celda 211) (2009),Ocho apellidos vascos (2014),Bad Milo (Bad Milo!) (2013),Secret Society (2002),Justin and the Knights of Valour (2013),Valiant (2005),Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),"Iron Lady, The (2011)",Eva (2011),Taxi 3 (2003),"Terminator, The (1984)",Spartan (2004),"Losers, The (2010)"
35,Terminator 2: Judgment Day (1991),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Star Trek: Generations (1994),"Mask, The (1994)",Reservoir Dogs (1992),Die Hard: With a Vengeance (1995),Sleepless in Seattle (1993),Cliffhanger (1993),Clear and Present Danger (1994),Ace Ventura: Pet Detective (1994),Seven (a.k.a. Se7en) (1995),GoldenEye (1995),Fargo (1996),Forrest Gump (1994),Goodfellas (1990),Snow White and the Seven Dwarfs (1937),Interview with the Vampire: The Vampire Chronicles (1994),Crimson Tide (1995),Braveheart (1995),"Godfather, The (1972)","Lion King, The (1994)","Silence of the Lambs, The (1991)",Jurassic Park (1993),"Godfather: Part II, The (1974)"
36,Forrest Gump (1994),Star Trek: The Motion Picture (1979),Pulp Fiction (1994),Star Trek III: The Search for Spock (1984),"Silence of the Lambs, The (1991)","Getaway, The (1994)",For Your Eyes Only (1981),Vanity Fair (2004),Arthur (1981),15 Minutes (2001),Star Trek II: The Wrath of Khan (1982),"Usual Suspects, The (1995)",Shrek (2001),Miami Vice (2006),Sidewalks of New York (2001),Schindler's List (1993),Octopussy (1983),Never Say Never Again (1983),Fight Club (1999),Remo Williams: The Adventure Begins (1985),Tough Guys (1986),"Matrix, The (1999)",Braveheart (1995),Weird Science (1985),Dragnet (1987)
37,Speed (1994),Cliffhanger (1993),Waterworld (1995),Aladdin (1992),Seven (a.k.a. Se7en) (1995),"Mask, The (1994)",Braveheart (1995),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Crimson Tide (1995),Mrs. Doubtfire (1993),"Firm, The (1993)","Net, The (1995)","Lion King, The (1994)",Ace Ventura: When Nature Calls (1995),Schindler's List (1993),Fargo (1996),Pretty Woman (1990),GoldenEye (1995),Get Shorty (1995),While You Were Sleeping (1995),Interview with the Vampire: The Vampire Chronicles (1994),Disclosure (1994),Goodfellas (1990),"Matrix, The (1999)"
38,Clear and Present Danger (1994),Independence Day (a.k.a. ID4) (1996),Terminator 2: Judgment Day (1991),Reservoir Dogs (1992),Seven (a.k.a. Se7en) (1995),Fargo (1996),Ace Ventura: Pet Detective (1994),Goodfellas (1990),Die Hard: With a Vengeance (1995),"Godfather, The (1972)","Godfather: Part II, The (1974)",Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Return of the King, The (2003)",Broken Arrow (1996),Saving Private Ryan (1998),"Rock, The (1996)",Billy Madison (1995),Fight Club (1999),"Net, The (1995)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Indiana Jones and the Temple of Doom (1984),Memento (2000),"Matrix, The (1999)","Nutty Professor, The (1996)",Trainspotting (1996)
39,Wallace & Gromit: The Wrong Trousers (1993),S.F.W. (1994),Running Scared (1980),Beijing Bicycle (Shiqi sui de dan che) (2001),Icarus (2017),Uncommon Valor (1983),Harvard Man (2001),Beautiful Creatures (2000),"Beast of War, The (Beast, The) (1988)","Battle of Shaker Heights, The (2003)",Rain (2001),Hiding Out (1987),Prozac Nation (2001),Hot Dog... The Movie (1984),Prey for Rock & Roll (2003),Pretty Persuasion (2005),Pornstar: The Legend of Ron Jeremy (2001),Below (2002),"Triumph of Love, The (2001)",Running With Scissors (2006),"Terminator, The (1984)",Braveheart (1995),Clear and Present Danger (1994),X2: X-Men United (2003),Spider-Man (2002)
